drugID;indication
DAP000154;Fungal infection
DAP000155;Bacterial infection
DAP000155;Urinary tract infections
DAP000156;Fungal infection
DAP000156;Pneumocystis carinii infection
DAP000157;HIV infections
DAP000158;Bacterial infection
DAP000159;Respiratory tract infections
DAP000160;Bacterial infection
DAP000161;Bacterial infection
DAP000162;Ocular allergy
DAP000162;Organ transplant rejection
DAP000163;Insomnia
DAP000164;Anxiety disorder
DAP000164;Anxiety disorder, Insomnia
DAP000164;Panic disorder, Epilepsy
DAP000165;Malaria
DAP000166;Bipolar disorder
DAP000167;HIV infections, Chronic hepatitis B
DAP000168;HIV infections
DAP000169;HIV infections
DAP000170;HIV infections
DAP000171;HIV infections
DAP000172;HIV infections
DAP000173;Hepatitis C virus infection
DAP000173;Hepatitis C virus infection
DAP000174;Cardiovascular disease
DAP000174;Diabetes mellitus
DAP000175;Nicotine dependence
DAP000176;Obesity
DAP000177;Depression
DAP000178;Coronary artery disease
DAP000178;Thrombosis
DAP000179;Chronic myelogenous leukemia
DAP000179;Glioma, Lung cancer, Prostate cancer, Solid tumours
DAP000179;Intestinal cancer, Myeloid leukemia
DAP000180;Gastroesophageal reflux disease
DAP000181;Pain
DAP000182;Osteoporosis, Paget's disease
DAP000183;HIV infections
DAP000184;HIV infections
DAP000185;Bleeding
DAP000185;Perioperative blood loss
DAP000186;Depression
DAP000187;Congestive heart failure, Hypertension
DAP000188;Edema
DAP000188;High blood pressure
DAP000189;Acute coronary syndrome
DAP000190;Bacterial infection
DAP000191;Intermittent claudication
DAP000192;Cancers
DAP000193;Cancers
DAP000194;Acute myeloid leukemia
DAP000195;Allergic rhinitis
DAP000195;Nasal congestion
DAP000196;Anesthesia
DAP000196;General anesthesia
DAP000197;Tuberculosis
DAP000198;Dietary supplement
DAP000199;Excessive bleeding
DAP000200;Excessive postoperative bleeding
DAP000201;Acute pain
DAP000202;Anemia
DAP000203;Pulmonary embolism
DAP000204;Myocardial infarction
DAP000205;Diabetes mellitus
DAP000206;Diabetes mellitus
DAP000206;Non-insulin dependent diabetes
DAP000207;Anorexia
DAP000208;Chronic idiopathic constipation
DAP000208;Constipation
DAP000209;Parkinson's disease
DAP000209;Parkinson's disease
DAP000210;Hyperlipidemia
DAP000211;Hyperparathyroidism
DAP000212;Hypotension
DAP000212;Parkinson's disease
DAP000213;Cough
DAP000213;Pain
DAP000214;Migraine
DAP000214;Pain
DAP000215;Cancers
DAP000216;Malaria
DAP000217;Localisation
DAP000218;Acute migraine
DAP000219;Migraine headaches
DAP000220;Acute migraine
DAP000221;Alcohol use disorders
DAP000221;Chemotherapy-induced nausea and vomiting
DAP000222;Gastroesophageal reflux disease
DAP000223;Paroxysmal supraventricular tachycardia
DAP000224;Anesthesia
DAP000224;Ophthalmic disorders
DAP000225;Hypotension
DAP000226;Hypertension
DAP000227;Postpartum haemorrhage
DAP000228;Asthma
DAP000228;Asthma, Bronchitis
DAP000229;Hypotension
DAP000229;Orthostatic hypotension
DAP000230;Anesthesia
DAP000230;Pain
DAP000231;Hypertension
DAP000232;High blood pressure
DAP000232;Hypertension
DAP000233;Anesthesia
DAP000233;Sedation
DAP000234;Muscle hypertonia
DAP000234;Spasms, Pain
DAP000235;Nasal congestion
DAP000235;Ocular disease
DAP000236;Additional intra ocular pressure reduction
DAP000236;Glaucoma
DAP000237;Anxiety disorder
DAP000238;Insomnia
DAP000239;Anxiety disorder
DAP000240;Anxiety disorder, Insomnia
DAP000241;Sedation
DAP000242;Insomnia
DAP000243;Anxiety disorder
DAP000244;Insomnia
DAP000245;Heart failure, Cardiogenic shock
DAP000246;Asthma
DAP000247;Asthma
DAP000248;Acute asthma
DAP000249;Asthma
DAP000250;Asthma
DAP000251;Hyperprolactinaemia
DAP000252;Alcohol use disorders
DAP000252;Schizophrenia
DAP000253;Pain
DAP000254;Hypertension
DAP000255;Parkinson's disease
DAP000256;Cardiovascular disease, Kidney disease
DAP000256;Hyperparathyroidism
DAP000257;Multiple sclerosis
DAP000258;Depression
DAP000258;Muscle hypertonia
DAP000259;Epilepsy
DAP000259;Seizures
DAP000260;Diagnosis
DAP000261;Intestinal strongyloidiasis due to nematode parasite
DAP000261;Nematode infection
DAP000262;Diabetes mellitus
DAP000262;Dysbetalipoproteinemia
DAP000263;Urinary dysfunction
DAP000263;Urinary retention
DAP000264;General anesthesia
DAP000265;Smoking cessation
DAP000266;Insomnia
DAP000267;Cough
DAP000267;Opiate dependence
DAP000268;Pain
DAP000269;Autism
DAP000269;Postpartum haemorrhage
