drugID;indication
DIB000792;Solid tumours
DIB000793;Inflammatory diseases
DIB000794;Cognitive impairment
DIB000795;Pain
DIB000796;Hepatitis C virus infection
DIB000797;Ocular hypertension
DIB000798;Anemia
DIB000799;Brain injury
DIB000800;Esophageal cancer
DIB000801;Bacterial infection
DIB000802;Glioma
DIB000803;Glioma
DIB000804;Pain
DIB000805;Cancer immunotherapy
DIB000806;Psychotic disorders
DIB000807;Occlusion
DIB000808;Mesothelioma
DIB000809;Crohn's disease
DIB000810;Discovery agent
DIB000811;Rheumatold arthritis
DIB000812;Epilepsy
DIB000813;Cancer
DIB000814;Cytomegalovirus infection
DIB000815;Leukaemia
DIB000816;Mucopolysaccharidosis type I
DIB000817;Male contraception
DIB000818;Wound healing
DIB000819;Diabetes mellitus
DIB000820;Pain
DIB000821;Alzheimer's disease
DIB000822;Aortic aneurysm
DIB000823;Solid tumours
DIB000824;Alzheimer's disease
DIB000825;Hypertension
DIB000826;Angina
DIB000827;Irritable bowel syndrome
DIB000828;Bone metastases
DIB000829;Solid tumours
DIB000830;Cardiac arrhythmias
DIB000831;Ulcer
DIB000832;Bacterial infection
DIB000833;Chronic myelogenous leukemia
DIB000834;Cancer
DIB000835;Gastrointestinal disease
DIB000836;Parkinson's disease
DIB000837;Discovery agent
DIB000838;Pain
DIB000839;Cancer
DIB000840;Multiple sclerosis
DIB000841;Cancer
DIB000842;HIV infections
DIB000843;Bacterial infection
DIB000844;Asthma
DIB000845;Thrombosis
DIB000846;Infectious disease
DIB000847;Cancer
DIB000848;Sleep disorders
DIB000849;Diabetic neuropathy
DIB000850;Metachromatic leukodystrophy
DIB000851;Cerebrovascular ischaemia
DIB000852;Cancer
DIB000853;Viral infections
DIB000854;Pruritus
DIB000855;Restless legs syndrome
DIB000856;Chronic lymphocytic leukaemia
DIB000857;Atherosclerosis
DIB000858;Colorectal cancer
DIB000859;Viral infections
DIB000860;Nerve injury
DIB000861;Cancer
DIB000862;Peripheral vascular disease
DIB000863;Schizophrenia
DIB000864;Neurodegenerative diseases
DIB000865;Melanoma
DIB000866;Cardiovascular disease
DIB000867;Fungal infection
DIB000868;Pulmonary fibrosis
DIB000869;Coronary artery disease
DIB000870;Cancer
DIB000871;Anxiety disorder
DIB000872;Cancer
DIB000873;Asthma
DIB000874;Gastrointestinal cancer
DIB000875;Hematopoietic
DIB000876;Nervous system inflammation
DIB000877;Ataxia telangiectasia
DIB000878;Multiple sclerosis
DIB000879;Colon cancer
DIB000880;Diffuse large b-cell lymphoma
DIB000881;Parathyroid disease
DIB000882;Cancer
DIB000883;Cancer
DIB000884;Cerebrovascular ischaemia
DIB000885;Helicobacter pylori infection
DIB000886;Cancer
DIB000887;Herpes simplex virus infection
DIB000888;Parkinson's disease
DIB000889;Alzheimer's disease
DIB000890;Hepatitis C virus infection
DIB000891;Ear disease
DIB000892;Bleeding
DIB000893;Diabetic neuropathy
DIB000894;Alpha-1 antitrypsin deficiency
DIB000895;HIV infections
DIB000896;Gastrointestinal disease
DIB000897;Cancer
DIB000898;Papillomavirus infections
DIB000899;Prostate tumor
DIB000900;Blood clotting disorder
DIB000901;Solid tumours
DIB000902;Cardiovascular disease
DIB000903;Cancer
DIB000904;HIV infections
DIB000905;Male sexual disorders
DIB000906;Atrial fibrillation
DIB000907;Neurological disease
DIB000908;Cancer
DIB000909;Cancer
DIB000910;Staphylococcus aureus infection
DIB000911;Thrombosis
DIB000912;Cardiovascular disease
DIB000913;Attention deficit hyperactivity disorder
DIB000914;Cancer
DIB000915;Bacterial infection
DIB000916;Cancer
DIB000917;Cancer
DIB000918;Serious blood volume loss
DIB000919;Allergic rhinitis
DIB000920;Cancer
DIB000921;Allergy
DIB000922;Cerebrovascular ischaemia
DIB000923;Asthma
DIB000924;Alzheimer's disease
DIB000925;Psoriasis
DIB000926;Ocular hypertension
DIB000927;Angina
DIB000928;HIV infections
DIB000929;Cancer
DIB000930;Flavivirus infection
DIB000931;Pain
DIB000932;HIV infections
DIB000933;Pain
DIB000934;Cancer
DIB000935;Hypertension
DIB000936;Hypertension
DIB000937;Cytomegalovirus infection
DIB000938;Cardiovascular disease
DIB000939;Cancer
DIB000940;Asthma
DIB000941;Cancer
DIB000942;Autoimmune diseases
DIB000943;Rheumatold arthritis
DIB000944;Schizophrenia, Schizoaffective disorders
DIB000945;West Nile virus infection
DIB000946;Cancer
DIB000947;Vascular disease
DIB000948;Non-insulin dependent diabetes
DIB000949;Breast cancer
DIB000950;Pruritus
DIB000951;Dengue virus infection
DIB000952;Cestode infection
DIB000953;HIV infections
DIB000954;Diabetes mellitus
DIB000955;HIV infections
DIB000956;Alzheimer's disease
DIB000957;Urinary incontinence
DIB000958;Adult varicella zoster virus infection
DIB000959;Urinary incontinence
DIB000960;Prostate cancer
DIB000961;Plasmodium falciparum infection
DIB000962;Wound healing
DIB000963;Respiratory failure
DIB000964;Hepatitis B virus infection
DIB000965;Cough
DIB000966;Diabetes mellitus
DIB000967;Ulcerative colitis
DIB000968;Immunodeficiency
DIB000969;Cytomegalovirus infection
DIB000970;Autoimmune diseases
DIB000971;Age related macular degeneration
DIB000972;Hypertension
DIB000973;Neurotoxicity drug-induced
DIB000974;Rheumatold arthritis
DIB000975;Rheumatold arthritis
DIB000976;Insulin dependent diabetes
DIB000977;Alzheimer's disease
DIB000978;Cancer
DIB000979;Cardiac arrhythmias
DIB000980;Asthma
DIB000981;Neisseria meningitidis infection
DIB000982;Arteriosclerosis
DIB000983;Gastrointestinal infection
DIB000984;SARS coronavirus infection
DIB000985;Cardiac arrhythmias
DIB000986;Diabetes mellitus type 2
DIB000987;Asthma
DIB000988;Anxiety disorder
DIB000989;Cancer
DIB000990;Allergic conjunctivitis
DIB000991;Duchenne dystrophy
DIB000992;Toxicity
DIB000993;Diabetes mellitus
DIB000994;Bone marrow transplantation
DIB000995;Diabetes mellitus
DIB000996;Cytomegalovirus
DIB000997;Hypoglycemia
DIB000998;Ovarian cancer
DIB000999;Breast cancer
DIB001000;Respiratory syncytial virus 
DIB001001;Alzheimer's disease
DIB001002;Cancer
DIB001003;Inflammatory bowel disease
DIB001004;Cancer
DIB001005;Renal cell carcinoma
DIB001006;West Nile virus infection
DIB001007;Alzheimer's disease
DIB001008;Cancer
DIB001009;Atherosclerosis
DIB001010;HIV infections
DIB001011;Acne vulgaris
DIB001012;Pain
DIB001013;Eclampsia
DIB001014;Cancer
DIB001015;MRSA infection
DIB001016;Contraception
DIB001017;Staphylococcus aureus infection
DIB001018;Plasmodium falciparum infection
DIB001019;Cognition disorders
DIB001020;Rheumatold arthritis
DIB001021;Chlamydia infection
DIB001022;Sarcoma
DIB001023;Growth disorder
DIB001024;Bladder cancer
DIB001025;Immuno-suppressant
DIB001026;Non-insulin dependent diabetes
DIB001027;Liver cancer
DIB001028;Hepatitis C virus infection
DIB001029;Sleep disorders
DIB001030;Heart failure
DIB001031;Bacterial infection
DIB001032;Toxicity
DIB001033;Sepsis
DIB001034;Thrombocytopenia
DIB001035;Cancer
DIB001036;Inflammatory bowel disease
DIB001037;Asthma
DIB001038;Chronic obstructive pulmonary disease
DIB001039;Sepsis
DIB001040;Thrombosis
DIB001041;Pain
DIB001042;Factor VIII deficiency
DIB001043;Pancreatic cancer
DIB001044;Diarrhea
DIB001045;Breast cancer
DIB001046;Rheumatold arthritis
DIB001047;Mycobacterium tuberculosis infection
DIB001048;Diabetes mellitus type 2
DIB001049;Cardiovascular disease
DIB001050;Allergy
DIB001051;Allergy
DIB001052;Alzheimer's disease
DIB001053;Cancer
DIB001054;Cardiovascular disease
DIB001055;Leukaemia
DIB001056;Immune disorder
DIB001057;Inflammatory diseases
DIB001058;Pain
DIB001059;Filariasis
DIB001060;Atherosclerosis
DIB001061;Acne vulgaris
DIB001062;Hyperoxaluria
DIB001063;Influenza A virus H1N1 infections
DIB001064;Cancer
DIB001065;Cerebrovascular ischaemia
DIB001066;Non-Hodgkin's lymphoma
DIB001067;Inflammatory diseases
DIB001068;Transplant rejection
DIB001069;Autoimmune diseases
DIB001070;Diabetes mellitus type 1
DIB001071;Heavy metal poisoning
DIB001072;Respiratory disease
DIB001073;Alzheimer's disease
DIB001074;Non-insulin dependent diabetes
DIB001075;Duchenne muscular dystrophy
DIB001076;Hepatitis C virus infection
DIB001077;Inflammation
DIB001078;Hepatitis B virus infection
DIB001079;Inflammatory diseases
DIB001080;Arteriosclerosis
DIB001081;Rheumatold arthritis
DIB001082;Cancer
DIB001083;Cachexia
DIB001084;Spasm
DIB001085;HIV-1 infections
DIB001086;Obesity
DIB001087;Cancer
DIB001088;Alzheimer's disease
DIB001089;Cancer
DIB001090;Asthma
DIB001091;Hypertension
DIB001092;Hypertension
DIB001093;Metabolic disorders
DIB001094;Breast cancer
DIB001095;Hepatitis C virus infection
DIB001096;Glioblastoma
DIB001097;Inflammatory bowel disease
DIB001098;Cerebrovascular ischaemia
DIB001099;Cancer
DIB001100;Candida infection
DIB001101;Cancer
DIB001102;Liver cancer
DIB001103;Systemic lupus erythematosus
DIB001104;Hypertension
DIB001105;Discovery agent
DIB001106;Melanoma
DIB001107;Autoimmune diseases
DIB001108;Breast cancer
DIB001109;Anxiety disorder
DIB001110;Cancer
DIB001111;Cardiovascular disease
DIB001112;Cancer
DIB001113;Pain
DIB001114;Gastrointestinal cancer
DIB001115;Ovarian cancer
DIB001116;Cancer
DIB001117;Hepatitis C virus infection
DIB001118;Bacillus anthracis infection
DIB001119;Schizophrenia
DIB001120;Pancreatic cancer
DIB001121;Stomach ulcer
DIB001122;Ocular disease
DIB001123;Pain
DIB001124;Aplastic anemia
DIB001125;Pain
DIB001126;Cancer
DIB001127;Bordetella pertussis infection
DIB001128;Epstein Barr virus infection
DIB001129;Diarrhea
DIB001130;Asthma
DIB001131;Sepsis
DIB001132;Erectile dysfunction
DIB001133;Multiple sclerosis
DIB001134;Bladder cancer
DIB001135;Huntington's disease
DIB001136;Hepatocellular carcinoma
DIB001137;Osteoporosis
DIB001138;Allergic rhinitis
DIB001139;Immuno-suppressant
DIB001140;Cancer
DIB001141;Ocular hypertension
DIB001142;Premature ejaculation
DIB001143;Cancer
DIB001144;Influenza virus infections
DIB001145;Escherichia coli infection
DIB001146;Hypertension
DIB001147;Factor IX deficiency
DIB001148;Metastasis
DIB001149;Brain cancer
DIB001150;Growth disorder
DIB001151;Diabetes mellitus type 2
DIB001152;Human immunodeficiency virus infection
DIB001153;Anxiety disorder
DIB001154;Vitamin deficiency
DIB001155;Lupus
DIB001156;Rheumatold arthritis
DIB001157;Melanoma
DIB001158;Cancer
DIB001159;Staphylococcus aureus infection
DIB001160;Atrophy
DIB001161;Discovery agent
DIB001162;Hematological malignancies
DIB001163;Yersinia infections
DIB001164;Solid tumours
DIB001165;Retinal venous occlusion
DIB001166;Hyperlipidemia
DIB001167;Cancer
DIB001168;Autoimmune diseases
DIB001169;Atherosclerosis
DIB001170;Cardiovascular disease
DIB001171;HIV infections
DIB001172;Neurological disease
DIB001173;Plasmodium infection
DIB001174;Pancreatic disease
DIB001175;Multiple sclerosis
DIB001176;Schizophrenia
DIB001177;Cardiovascular disease
DIB001178;Fungal infection
DIB001179;Alzheimer's disease
DIB001180;Parkinson's disease
DIB001181;Influenza virus infections
DIB001182;Anxiety disorder
DIB001183;Cancer
DIB001184;HIV infections
DIB001185;Rheumatold arthritis
DIB001186;Breast cancer
DIB001187;Helicobacter pylori infection
DIB001188;Cardiotonic
DIB001189;Thromboembolism
DIB001190;Anxiety disorder
DIB001191;Hypertension
DIB001192;Rheumatold arthritis
DIB001193;Human immunodeficiency virus infection
DIB001194;Cancer
DIB001195;Cancer
DIB001196;Non-insulin dependent diabetes
DIB001197;Poison intoxication
DIB001198;Inflammatory diseases
DIB001199;Cognitive impairment
DIB001200;Herpes simplex virus infection
DIB001201;Anxiety disorder
DIB001202;Streptococcus pneumoniae infection
DIB001203;Inflammatory diseases
DIB001204;Diabetes mellitus type 2
DIB001205;Breast cancer
DIB001206;Cognition disorders
DIB001207;Bacillus anthracis infection
DIB001208;Clostridium botulinum infection
DIB001209;Arthritis
DIB001210;Restenosis
DIB001211;Parkinson's disease
DIB001212;Central and peripheral nervous diseases
DIB001213;Leukemia
DIB001214;Ocular disease
DIB001215;Cognitive disorders
DIB001216;Hunter syndrome
DIB001217;Alcohol use disorders
DIB001218;Inflammatory diseases
DIB001219;Irritable bowel syndrome
DIB001220;Intoxication
DIB001221;Inflammatory diseases
DIB001222;Viral infections
DIB001223;Hepatitis C virus infection
DIB001224;Solid tumours
DIB001225;Hepatitis B virus infection
DIB001226;Neurodegenerative diseases
DIB001227;Cancer
DIB001228;Thrombosis
DIB001229;Osteoporosis
DIB001230;Hunter syndrome
DIB001231;Non-insulin dependent diabetes
DIB001232;Epileptic seizure
DIB001233;Glaucoma
DIB001234;Schizophrenia
DIB001235;Depression
DIB001236;Toxicity
DIB001237;Otitis media
DIB001238;Emesis
DIB001239;Chronic myelogenous leukemia
DIB001240;Macular degeneration
DIB001241;Immune disorder
DIB001242;Heart failure
DIB001243;Cancer
DIB001244;Haemophilia A
DIB001245;Human immunodeficiency virus infection
DIB001246;Neurological disease
DIB001247;Hypertension
DIB001248;Opiate dependence
DIB001249;Asthma
DIB001250;Motor neurone disease
DIB001251;Hypertension
DIB001252;Peptic ulcer
DIB001253;Non-Hodgkin's lymphoma
DIB001254;Multiple sclerosis
DIB001255;Cancer
DIB001256;Inflammation
DIB001257;Influenza virus infections
DIB001258;Non-insulin dependent diabetes
DIB001259;Pain
DIB001260;Chronic obstructive pulmonary disease
DIB001261;Cancer
DIB001262;Enterovirus infection
DIB001263;Inflammatory bowel disease
DIB001264;Cancer
DIB001265;Pain
DIB001266;Discovery agent
DIB001267;HIV-1 infections
DIB001268;Chronic obstructive pulmonary disease
DIB001269;Atopic dermatitis
DIB001270;Pre-eclampsia
DIB001271;Rheumatold arthritis
DIB001272;Cardiovascular disease
DIB001273;Diabetic neuropathy
DIB001274;Major depressive disorder
DIB001275;Cancer
DIB001276;HIV-1 infections
DIB001277;Myocardial infarction
DIB001278;Plasmodium falciparum infection
DIB001279;Major depressive disorder
DIB001280;Rotavirus infections
DIB001281;Bordetella pertussis infection
DIB001282;Bacterial infection
DIB001283;Autoimmune diseases
DIB001284;Scar tissue
DIB001285;Migraine
DIB001286;Central nervous system disease
DIB001287;HIV infections
DIB001288;Cancer
DIB001289;Bacterial infection
DIB001290;Neurological disease
DIB001291;Cancer
DIB001292;Brain cancer
DIB001293;HIV infections
DIB001294;Alzheimer's disease
DIB001295;Urinary incontinence
DIB001296;Hepatitis B virus infection
DIB001297;Diabetes mellitus type 2
DIB001298;Plasmodium falciparum infection
DIB001299;Herpes simplex virus infection
DIB001300;MRSA infection
DIB001301;Papillomavirus infections
DIB001302;Plasmodium falciparum infection
DIB001303;Cancer
DIB001304;Head and neck cancer
DIB001305;Cancer
DIB001306;Liver cancer
DIB001307;Cardiovascular disease
DIB001308;Cervical cancer
DIB001309;Hyperphosphatemia
DIB001310;Stomach ulcer
DIB001311;Bacterial infection
DIB001312;Inflammatory diseases
DIB001313;Osteoporosis
DIB001314;Huntington's disease
DIB001315;Bipolar disorder
DIB001316;Allergic rhinitis
DIB001317;Anxiety disorder
DIB001318;Cancer
DIB001319;Arthritis
DIB001320;Poison intoxication
DIB001321;Solid tumours
DIB001322;Atherosclerosis
DIB001323;Heart arrhythmia
DIB001324;Multiple myeloma
DIB001325;HIV infections
DIB001326;Cancer
DIB001327;Cognitive disorders
DIB001328;Cancer
DIB001329;Ulcerative colitis
DIB001330;Overactive bladder disorder
DIB001331;Central nervous system disease
DIB001332;Diabetes mellitus type 2
DIB001333;Constipation
DIB001334;Hypertension
DIB001335;Cardiovascular disease
DIB001336;Postherpetic neuralgia
DIB001337;Heart failure
DIB001338;Leukemia
DIB001339;Mycobacterium tuberculosis infection
DIB001340;Cancer
DIB001341;Pain
DIB001342;Nocturia
DIB001343;Cancer
DIB001344;Colorectal cancer
DIB001345;Cancer
DIB001346;MRSA infection
DIB001347;Cognitive impairment
DIB001348;Anxiety disorder
DIB001349;Cancer
DIB001350;Poison intoxication
DIB001351;Peptic ulcer
DIB001352;Acute radiation syndrome
DIB001353;Lymphoma
DIB001354;Gastrointestinal disease
DIB001355;Hepatitis C virus infection
DIB001356;Colorectal cancer
DIB001357;Thromboembolism
DIB001358;Macular degeneration
DIB001359;Acute myeloid leukemia
DIB001360;Peripheral vascular disease
DIB001361;Diabetic retinopathy
DIB001362;Non-Hodgkin's lymphoma
DIB001363;Motor neurone disease
DIB001364;Cancer
DIB001365;Motor neurone disease
DIB001366;Obesity
DIB001367;Diabetes mellitus
DIB001368;Cancer
DIB001369;Autoimmune diseases
DIB001370;Cancer
DIB001371;Immune disorder
DIB001372;Congestive heart failure
DIB001373;HIV infections
DIB001374;Inflammatory diseases
DIB001375;Cognitive disorders
DIB001376;Autoimmune diseases
DIB001377;Human immunodeficiency virus infection
DIB001378;Inflammatory diseases
DIB001379;Motor neurone disease
DIB001380;Non-insulin dependent diabetes
DIB001381;Viral infections
DIB001382;Angina
DIB001383;Asthma
DIB001384;Epileptic seizure
DIB001385;HIV infections
DIB001386;Candida infection
DIB001387;Irritable bowel syndrome
DIB001388;Acute myeloid leukemia
DIB001389;Generalized anxiety disorder
DIB001390;MRSA infection
DIB001391;Congestive heart failure
DIB001392;Solid tumours
DIB001393;Macular degeneration
DIB001394;Cancer
DIB001395;Cancer
DIB001396;Psoriasis
DIB001397;Dermatological disease
DIB001398;Breast cancer
DIB001399;Autoimmune diseases
DIB001400;Parkinson's disease
DIB001401;Huntington's disease
DIB001402;Allergic conjunctivitis
DIB001403;Glaucoma
DIB001404;Metabolic disorders
DIB001405;Epilepsy
DIB001406;Chronic myelogenous leukemia
DIB001407;Allergy
DIB001408;Epileptic seizure
DIB001409;Cancer
DIB001410;Pain
DIB001411;Epilepsy
DIB001412;Discovery agent
DIB001413;Dementia
DIB001414;Fungal infection
DIB001415;Diabetes mellitus
DIB001416;Viral infections
DIB001417;Motor neurone disease
DIB001418;Retrovirus infection
DIB001419;Cancer
DIB001420;Epilepsy
DIB001421;Obesity
DIB001422;Thromboembolism
DIB001423;Prostate tumor
DIB001424;Cancer
DIB001425;Escherichia coli infection
DIB001426;Growth disorder
DIB001427;Cancer
DIB001428;Cancer
DIB001429;Hepatitis C virus infection
DIB001430;Hepatitis B virus infection
DIB001431;Hepatitis C virus infection
DIB001432;Cancer
DIB001433;Mycobacterium tuberculosis infection
DIB001434;Plasmodium infection
DIB001435;Chronic obstructive pulmonary disease
DIB001436;Diarrhea
DIB001437;Cancer
DIB001438;Rheumatold arthritis
DIB001439;Alzheimer's disease
DIB001440;Asthma, Chronic obstructive pulmonary disease
DIB001441;Acquired hemolytic anemia
DIB001442;Cancer
DIB001443;Cancer
DIB001444;HIV infections
DIB001445;Glaucoma
DIB001446;Bone disease
DIB001447;Hypertension
DIB001448;Otitis media
DIB001449;Anxiety disorder
DIB001450;Pancreatic disease
DIB001451;HIV infections
DIB001452;Cancer
DIB001453;Multiple sclerosis
DIB001454;Viral infections
DIB001455;Dental caries
DIB001456;Angina
DIB001457;HIV infections
DIB001458;Autoimmune diseases
DIB001459;Chronic lymphocytic leukemia
DIB001460;Infertility
DIB001461;Angina
DIB001462;Cachexia
DIB001463;Prostate hyperplasia
DIB001464;Dengue
DIB001465;Colorectal cancer
DIB001466;Hypertension
DIB001467;Cancer pain
DIB001468;Sleep disorders
DIB001469;Alzheimer's disease
DIB001470;Cancer
DIB001471;HIV infections
DIB001472;Acute lymphoblastic leukemia
DIB001473;Pain
DIB001474;Norwalk virus infection
DIB001475;Leukemia
DIB001476;Pain
DIB001477;Bacterial infection
DIB001478;Neurodegenerative diseases
DIB001479;HIV-1 infections
DIB001480;Parkinson's disease
DIB001481;Liver cancer
DIB001482;Inflammatory diseases
DIB001483;Asthma
DIB001484;Epileptic seizure
DIB001485;Cancer
DIB001486;Asthma
DIB001487;Motor neurone disease
DIB001488;Renal disease
DIB001489;Asthma
DIB001490;Rheumatold arthritis
DIB001491;Pompe's disease
DIB001492;Allergic rhinitis
DIB001493;Neuropathic pain
DIB001494;Obesity
DIB001495;Cancer
DIB001496;Diabetes mellitus
DIB001497;Cancer
DIB001498;Bacterial infection
DIB001499;Cancer
DIB001500;Herpes simplex virus infection
DIB001501;Solid tumours
DIB001502;Central nervous system disease
DIB001503;Liver disease
DIB001504;Parkinson's disease
DIB001505;Aneurysm
DIB001506;Hypertension
DIB001507;Cancer
DIB001508;Asthma
DIB001509;Wound healing
DIB001510;Chronic myelogenous leukemia
DIB001511;Brain cancer
DIB001512;Allergic conjunctivitis
DIB001513;HIV infections
DIB001514;Colorectal cancer
DIB001515;Discovery agent
DIB001516;Diabetes mellitus type 2
DIB001517;Brain injury
DIB001518;Huntington's disease
DIB001519;Muscular dystrophy
DIB001520;Conjunctivitis
DIB001521;Lymphoma
DIB001522;Cytomegalovirus infection
DIB001523;Autoimmune diseases
DIB001524;Hepatitis C virus infection
DIB001525;Squamous cell carcinoma of the head and neck
DIB001526;Keratosis
DIB001527;Cancer
DIB001528;Cytomegalovirus infection 
DIB001529;Osteoarthritis
DIB001530;Myeloid leukemia
DIB001531;Diabetes mellitus
DIB001532;Atrial fibrillation
DIB001533;Major depressive disorder
DIB001534;Cancer
DIB001535;Psoriasis
DIB001536;Psoriasis
DIB001537;Cancer
DIB001538;Urinary incontinence
DIB001539;HIV infections
DIB001540;Autoimmune diseases
DIB001541;Ovarian cancer
DIB001542;Crohn's disease
DIB001543;Pain
DIB001544;Wound healing
DIB001545;Poison intoxication
DIB001546;Inflammatory diseases
DIB001547;Alzheimer's disease
DIB001548;Neuroblastoma
DIB001549;Mood disorder
DIB001550;Plasmodium infection
DIB001551;Polycystic kidney disease
DIB001552;Cystic fibrosis
DIB001553;Transplant rejection
DIB001554;Pain
DIB001555;Brain injury
DIB001556;Non-small-cell lung carcinoma
DIB001557;Liver cancer
DIB001558;Neisseria meningitidis infection
DIB001559;Sleep apnea
DIB001560;Type 2 diabetes
DIB001561;Pneumonia
DIB001562;Dyslipidemia
DIB001563;Solid tumours
DIB001564;Multile sclerosis
DIB001565;Cancer
DIB001566;HIV infections
DIB001567;Chronic obstructive pulmonary disease
DIB001568;Duchenne dystrophy
DIB001569;Skin cancers
DIB001570;Attention deficit hyperactivity disorder
DIB001571;Cancer
DIB001572;Age related macular degeneration
DIB001573;Diabetic complication
DIB001574;Colorectal cancer
DIB001575;Hypertension
DIB001576;Biliary cancer
DIB001577;Japanese encephalitis virus infection
DIB001578;Neurodegenerative diseases
DIB001579;Influenza virus infections
DIB001580;Cancer
DIB001581;Lung cancer
DIB001582;Solid tumours
DIB001583;Bacterial infection
DIB001584;Diabetes mellitus
DIB001585;Liver disease
DIB001586;Rheumatold arthritis
DIB001587;Melanoma
DIB001588;Hypertension
DIB001589;Cancer
DIB001590;Cancer
DIB001591;Cancer
DIB001592;Hematological disease
DIB001593;Heart failure
DIB001594;Brain diseases
DIB001595;Cancer
DIB001596;Sepsis
DIB001597;Ulcerative colitis
DIB001598;Diabetes mellitus
DIB001599;Amyotrophic lateral sclerosis
DIB001600;Arthritis
DIB001601;Asthma
DIB001602;Wound healing
DIB001603;Pain
DIB001604;Staphylococcus aureus infection
DIB001605;Hepatitis B virus infection
DIB001606;Ischemic heart diseases
DIB001607;Cancer
DIB001608;Infectious disease
DIB001609;Leukemia
DIB001610;Allergy
DIB001611;Hematological disease
DIB001612;Allergy
DIB001613;Cancer
DIB001614;Cancer
DIB001615;Metabolic disorders
DIB001616;Discovery agent
DIB001617;Bacterial infection
DIB001618;Allergy
DIB001619;Inflammatory diseases
DIB001620;Genetic disorder
DIB001621;Cancer
DIB001622;Autoimmune diseases
DIB001623;Lupus
DIB001624;Cancer
DIB001625;Metastasis
DIB001626;Hypertension
DIB001627;Skin burns
DIB001628;Atherosclerosis
DIB001629;Cancer
DIB001630;Corneal disease
DIB001631;Muscle spasm
DIB001632;Cocaine addiction
DIB001633;Solid tumours
DIB001634;Immune disorder
DIB001635;Gram-negative bacterial infection
DIB001636;Anxiety disorder
DIB001637;Prostate hyperplasia
DIB001638;Hypertension
DIB001639;Dermatitis
DIB001640;Cancer
DIB001641;Chronic obstructive pulmonary disease
DIB001642;Alzheimer's disease
DIB001643;Discovery agent
DIB001644;Cancer
DIB001645;Hyperuricemia
DIB001646;Metabolic disorders
DIB001647;Leukopenia
DIB001648;Kidney disorders
DIB001649;Cancer
DIB001650;Cancer
DIB001651;Bacterial infection
DIB001652;Cancer
DIB001653;Migraine
DIB001654;Bacterial infection
DIB001655;Discovery agent
DIB001656;Wound healing
DIB001657;Cancer
DIB001658;Parkinson's disease
DIB001659;Eating disorder
DIB001660;Glaucoma
DIB001661;Bacterial respiratory tract infection
DIB001662;Heart failure
DIB001663;Lipid metabolism disorder
DIB001664;Pain
DIB001665;Cancer
DIB001666;Ovarian cancer
DIB001667;Hepatitis B virus infection
DIB001668;Inflammatory diseases
DIB001669;Non-Hodgkin's lymphoma
DIB001670;Rheumatold arthritis
DIB001671;Inflammation
DIB001672;Respiratory syncytial virus 
DIB001673;Sjogren's syndrome
DIB001674;Osteoporosis
DIB001675;Breast cancer
DIB001676;Asthma, Chronic obstructive pulmonary disease
DIB001677;Drug delivery platform
DIB001678;Diabetes mellitus
DIB001679;Pain
DIB001680;Allergy
DIB001681;Small-cell lung cancer
DIB001682;Acute myeloid leukemia
DIB001683;Solid tumours
DIB001684;Lipid metabolism disorder
DIB001685;Appendicitis
DIB001686;Cancer
DIB001687;Overactive bladder disorder
DIB001688;Cancer
DIB001689;Diffuse large b-cell lymphoma
DIB001690;Skin burns
DIB001691;Hypersensitivity
DIB001692;Nerve injury
DIB001693;Huntington's disease
DIB001694;Neurodegenerative diseases
DIB001695;Lymphatic disease
DIB001696;Infectious disease
DIB001697;Bacterial infection
DIB001698;Hepatitis C virus infection
DIB001699;Hepatitis virus infection
DIB001700;Flavivirus infection
DIB001701;Leukemia
DIB001702;Drug dependence
DIB001703;Myotonic dystrophy
DIB001704;Breast cancer
DIB001705;Solid tumours
DIB001706;Epilepsy
DIB001707;Rheumatold arthritis
DIB001708;Cerebrovascular ischaemia
DIB001709;Cancer
DIB001710;Cancer
DIB001711;Cervical cancer
DIB001712;Liver cancer
DIB001713;Cytomegalovirus infection
DIB001714;Alzheimer's disease
DIB001715;Clostridium difficile infection
DIB001716;Genetic disease
DIB001717;Cancer
DIB001718;Bladder cancer
DIB001719;Asthma
DIB001720;Type 2 diabetes
DIB001721;Staphylococcus aureus infection
DIB001722;Cancer
DIB001723;Macular degeneration
DIB001724;MRSA infection
DIB001725;Cerebrovascular ischaemia
DIB001726;Multiple sclerosis
DIB001727;Schizophrenia
DIB001728;Cancer
DIB001729;Glaucoma
DIB001730;Bacterial infection
DIB001731;Inflammatory diseases
DIB001732;Colorectal cancer
DIB001733;Cerebrovascular disorders
DIB001734;Cardiovascular disease
DIB001735;Neurological disease
DIB001736;Hypertension
DIB001737;Asthma
DIB001738;Atherosclerosis
DIB001739;Autoimmune diseases
DIB001740;Alzheimer's disease
DIB001741;Nicotine dependence
DIB001742;Wound healing
DIB001743;HIV-1 infections
DIB001744;Fungal infection
DIB001745;Plasmodium infection
DIB001746;Cancer
DIB001747;Leukemia
DIB001748;Diabetes mellitus type 2
DIB001749;Hematological malignancies
DIB001750;Aortic aneurysm
DIB001751;Cancer
DIB001752;Metabolic disorders
DIB001753;Breast cancer
DIB001754;Parkinson's disease
DIB001755;Inflammatory diseases
DIB001756;Inflammatory diseases
DIB001757;Atopic dermatitis
DIB001758;Cancer
DIB001759;Glioblastoma
DIB001760;West Nile virus infection
DIB001761;Cancer
